ParkID,ParkName,MinLandFee
park-0001,(재)낙원추모공원,15000
park-0010,재단법인 솥발산공원묘원,500000
park-0100,천자봉공원묘원,400000
park-0101,홍천군공설묘원,375000
park-0102,이천시대월공설공원묘지(만장),200000
park-0103,진리공설묘지,60000
park-0104,이천시백사공설공원묘지,200000
park-0105,점봉동 공원묘지,150000
park-0106,(재)자하연분당(묘지),1007479
park-0107,하다리공설공원묘지,150000
park-0108,(재)광주대교구 여수천주교공원묘원,1000000
park-0109,대구시립공원묘지,360000
park-0011,재단법인 로엠(묘지),8000
park-0110,모도리공설묘지,60000
park-0111,안중공설묘지,451000
park-0112,이천시설성공설공원묘지,200000
park-0113,이천시장호원공설공원묘지(만장),200000
park-0114,선재리공설묘지,60000
park-0115,이작리공설묘지,60000
park-0116,(재)예다원 묘원,180000
park-0117,신도리공설묘지,60000
park-0118,장봉리공설묘지,60000
park-0119,청양군추모공원(묘지),700000
park-0012,(재)화산추모공원(묘지),250000
park-0120,와동꽃빛공원(공설묘지),108000
park-0121,춘천안식공원(묘지),3619280
park-0122,청솔공원,2506000
park-0123,화도공설묘지(만장),15400
park-0124,수동공설묘지(만장),15400
park-0125,완주군 공설공원묘지,100000
park-0126,충주시공설묘지,250000
park-0127,청북공설묘지,451000
park-0128,자월리공설묘지,60000
park-0129,내리공설묘지,60000
park-0130,처리공원묘지,150000
park-0131,오산시공설공원묘지,30000
park-0132,충효공원묘원,600000
park-0133,횡성군공설추모공원(묘지),361140
park-0134,송탄공설묘지,451000
park-0135,재단법인 아너스홈(구 대성공원묘원),2450000
park-0136,인제종합장묘센터 하늘공원,750000
park-0137,대청리공설묘지,60000
park-0138,가톨릭군위묘원,1100000
park-0139,(재)영락교회공원묘원,1050000
park-0014,(재)자하연 일산(묘지),1950000
park-0140,진촌리공설묘지,60000
park-0141,현수리공원묘지,10800
park-0142,연평리공설묘지,60000
park-0143,강릉공원묘원(묘지),24975
park-0144,남부권공설묘지,49600
park-0145,(재)자하연팔당(묘지),2450000
park-0146,중림동성당묘원,1000000
park-0147,은광교회 묘지,30000
park-0015,(재)이화공원묘원,6600
park-0150,삼성개발공원묘원(묘지),897239
park-0151,성서공동묘지,20000
park-0152,솔뫼공설묘지,49600
park-0153,석문공설묘지,6200
park-0154,천주교용인공원묘원,600000
park-0156,낙원공원묘원,1000000
park-0157,남해추모누리 공설종합묘원,860000
park-0158,정주동산,600000
park-0159,대호지공설묘지,49600
park-0016,김해공원묘원,70000
park-0161,해방교회공원묘원,900000
park-0162,동명가족묘지,20000
park-0163,동명공동묘지,20000
park-0164,양평군공설공원묘지,295000
park-0165,순천시립공원묘지,515000
park-0168,장화리공설묘지,15000
park-0169,운경공원묘원,1512400
park-0017,파주하늘나라공원,500000
park-0170,장정리공설묘지,15000
park-0171,웅양공설공원묘지,300000
park-0172,(재)원주공원묘원,1500000
park-0173,월곳리공설묘지,15000
