ParkID,ParkName,MinPrice,MaxPrice,Label
park-0509,정토사 극락원,150000,36000000,150000~36000000
park-0510,분당추모공원휴,1500000,35000000,1500000~35000000
park-0511,해인사 고불암무량수전,2000000,30000000,2000000~30000000
park-0512,재단법인 일산장안추모공원,3500000,24000000,3500000~24000000
park-0513,대한불교관음회조계종 백천사 봉안당,2500000,45000000,2500000~45000000
park-0514,(재)성산공원 추모관,1500000,27000000,1500000~27000000
park-0515,에덴추모공원,1200000,13500000,1200000~13500000
park-0516,팔공산도림사추모공원,1800000,26000000,1800000~26000000
park-0518,(재)유명추모공원,30000,12000000,30000~12000000
park-0519,양평추모공원 더포레,2000000,98000000,2000000~98000000
park-0521,(재)용인추모원,400000,86000000,400000~86000000
park-0522,연천동막골추모관,20000,400000,20000~400000
park-0523,대덕스카이캐슬 추모관,500000,25000000,500000~25000000
park-0524,마라나타하늘정원,120000,12000000,120000~12000000
park-0525,천국의계단추모관(재단법인천국),500000,14000000,500000~14000000
park-0526,그린피아추모공원,15000,11000000,15000~11000000
park-0528,유일추모공원,500000,10000000,500000~10000000
park-0529,(재)시안 가족추모공원(봉안),25850000,358000000,25850000~358000000
park-0530,무궁화추모공원,1050000,70000000,1050000~70000000
park-0531,모악추모공원,2000000,25000000,2000000~25000000
park-0532,도성사 봉안당,1000000,96000000,1000000~96000000
park-0533,크리스찬메모리얼파크,500000,9000000,500000~9000000
park-0535,청련사 극락원,2000000,24000000,2000000~24000000
park-0536,서남권추모공원 봉안당,30000,2000000,30000~2000000
park-0537,재단법인조안공원양주지사,2500000,15000000,2500000~15000000
park-0538,약사사지장전추모관,2000000,9000000,2000000~9000000
park-0539,(재)법화세계추모관,1500000,10000000,1500000~10000000
park-0540,유토피아추모공원(헤리티지관),3000000,20000000,3000000~20000000
park-0541,영모묘원 대원전,1800000,12000000,1800000~12000000
park-0542,부산추모공원 봉안당,20000,5574000,20000~5574000
park-0543,메모리얼펠리스추모관(실로암),150000,12000000,150000~12000000
park-0544,목포추모관 휴,1500000,12000000,1500000~12000000
park-0545,(재)평화공원 파라다이스 추모관,1500000,20000000,1500000~20000000
park-0546,유토피아추모관,1800000,12000000,1800000~12000000
park-0547,(재)자하연 일산(봉안),1950000,1950000,1950000
park-0548,천주교 비봉추모관,50000,600000,50000~600000
park-0549,천주교 서울대교구 평화묘원 봉안묘,1800000,7500000,1800000~7500000
park-0550,생극추모공원,1500000,29000000,1500000~29000000
park-0551,하늘소망추모관,1500000,5000000,1500000~5000000
park-0552,대한불교조계종 삼봉사 봉안당,2000000,506000000,2000000~506000000
park-0553,천주교안성추모공원(봉안),8000,6330000,8000~6330000
park-0554,아산메모리얼파크 휴온 봉안당,2500000,30000000,2500000~30000000
park-0555,청통추모관,2000000,12000000,2000000~12000000
park-0556,예래원(봉안시설),110000,9500000,110000~9500000
park-0557,재단법인 로엠(봉안시설),8000,28000000,8000~28000000
park-0558,(재)효원가족공원,300000,9000000,300000~9000000
park-0559,극락사추모공원,2000000,14000000,2000000~14000000
park-0561,금릉공원묘원 제1봉안당,100000,10000000,100000~10000000
park-0563,한국불교태고종 극락사 안양원,1000000,6200000,1000000~6200000
park-0564,재단법인 에덴낙원,5250000,18500000,5250000~18500000
park-0565,분당스카이캐슬추모공원,2000000,35000000,2000000~35000000
park-0566,녹야원추모관,900000,9000000,900000~9000000
park-0567,(재)한국SGI이천평화공원,370000,6680000,370000~6680000
park-0568,상상추모공원,10000,10000,10000
park-0569,양주추모공원,3500000,10000000,3500000~10000000
park-0570,(재)한국SGI청도평화공원,370000,6680000,370000~6680000
park-0571,약사사 하늘재추모원 ,1500000,5600000,1500000~5600000
park-0572,천주교 금상동성당 하늘자리,1200000,3800000,1200000~3800000
park-0574,(재)영호공원,1500000,4000000,1500000~4000000
park-0575,대원사 봉안당,1600000,5500000,1600000~5500000
park-0576,자임추모공원,3000000,13000000,3000000~13000000
park-0577,삼우추모공원,1000000,12000000,1000000~12000000
park-0578,예진추모관,2500000,7500000,2500000~7500000
park-0579,(재)호정공원(봉안),2000,500000,2000~500000
park-0580,용미리건물식추모의집,50000,300000,50000~300000
park-0581,화엄사,1500000,15000000,1500000~15000000
park-0582,(재)밀양추모공원묘원,1000000,7000000,1000000~7000000
park-0583,다보정사 안미원,200000,20000000,200000~20000000
park-0584,서울시립승화원 추모의집,50000,300000,50000~300000
park-0585,보현정사,1500000,4000000,1500000~4000000
park-0586,용미리왕릉벽식추모의집,50000,300000,50000~300000
park-0587,용미리분묘형추모의집,50000,300000,50000~300000
park-0588,용미리벽식추모의집,50000,300000,50000~300000
park-0589,(재)서호추모공원,1500000,12000000,1500000~12000000
park-0590,천주교안동교구 봉안경당,300000,400000,300000~400000
park-0591,보장사 영각당,3000000,10000000,3000000~10000000
park-0592,(재)화산추모공원(봉안),250000,13180000,250000~13180000
park-0593,예원추모관,1000,700000,1000~700000
park-0594,재단법인 세심사하늘공원,2400000,6200000,2400000~6200000
park-0596,홍성추모공원봉안당,10000,2000000,10000~2000000
park-0597,청풍추모공원,800000,8000000,800000~8000000
park-0598,전통사찰95호 동도사,3000000,14000000,3000000~14000000
park-0599,동천교회 납골묘,800000,21200000,800000~21200000
park-0600,대국사,2000000,12000000,2000000~12000000
