ID,시설명,종교,카테고리,상품명칭,가격(만원),가격(원),가격유형,주변문구(요약)
1,"(재)낙원추모공원",일반/무교,묘지,"A 패키지","1800만원",18000000,정가,"A 패키지 더이음 상조 200 + 부부형 수목형 1600 상조 지원금 150만원 지원 18..."
1,"(재)낙원추모공원",일반/무교,묘지,"A 패키지","1650만원",16500000,할인가,"A 패키지 더이음 상조 200 + 부부형 수목형 1600 상조 지원금 150만원 지원 18..."
1,"(재)낙원추모공원",일반/무교,묘지,"B 패키지","2000만원",20000000,정가,"B 패키지 더이음 상조 200 + 부부형 수목형 1800 상조 지원금 150만원 지원 20..."
1,"(재)낙원추모공원",일반/무교,묘지,"B 패키지","1850만원",18500000,할인가,"B 패키지 더이음 상조 200 + 부부형 수목형 1800 상조 지원금 150만원 지원 20..."
1,"(재)낙원추모공원",일반/무교,묘지,"C 패키지","2300만원",23000000,정가,"C 패키지 더이음 상조 200 + 부부형 수목형 2100 상조 지원금 200만원 지원 23..."
1,"(재)낙원추모공원",일반/무교,묘지,"C 패키지","2100만원",21000000,할인가,"C 패키지 더이음 상조 200 + 부부형 수목형 2100 상조 지원금 200만원 지원 23..."
1,"(재)낙원추모공원",일반/무교,묘지,"패키지","3250만원",32500000,정가,"패키지 더이음 상조 250 + 가족형 최대8위형 3000 상조 지원금 250만원 지원 32..."
1,"(재)낙원추모공원",일반/무교,묘지,"패키지","3000만원",30000000,할인가,"패키지 더이음 상조 250 + 가족형 최대8위형 3000 상조 지원금 250만원 지원 32..."
1,"(재)낙원추모공원",일반/무교,묘지,"패키지","3630만원",36300000,정가,"패키지 더이음 상조 250 + 가족형 최대12위형 3300 상조 지원금 250만원 지원 3..."
1,"(재)낙원추모공원",일반/무교,묘지,"패키지","3380만원",33800000,할인가,"패키지 더이음 상조 250 + 가족형 최대12위형 3300 상조 지원금 250만원 지원 3..."
1,"(재)낙원추모공원",일반/무교,기타,"싶은 분","290만원",2900000,분양가,"싶은 분 필요한 것만 담아 가격은 낮추고 품질은 높였습니다 더이음 250 R 사 (290만..."
1,"(재)낙원추모공원",일반/무교,기타,"아 가격은 낮추고 품질은 높","360만원",3600000,분양가,"아 가격은 낮추고 품질은 높였습니다 더이음 250 R 사 (290만원 기준) P 사 (36..."
1,"(재)낙원추모공원",일반/무교,기타,"기, 기증자 유자녀 후원금","200만원",2000000,분양가,"기, 기증자 유자녀 후원금 1억4천만원, 기증원 홍보대사 김경식 씨 등 8인의 기부금 4천..."
1,"(재)낙원추모공원",일반/무교,봉안당,"트리움(ATRIUM)관	팰리","510만원",5100000,테이블정가,"트리움(ATRIUM)관 팰리스(PALACE)관 에덴(EDEN)관 루멘(LUMEN)관 8단 ..."
1,"(재)낙원추모공원",일반/무교,봉안당,"ATRIUM)관	팰리스(PA","760만원",7600000,테이블정가,"ATRIUM)관 팰리스(PALACE)관 에덴(EDEN)관 루멘(LUMEN)관 8단 510 ..."
1,"(재)낙원추모공원",일반/무교,봉안당,"UM)관	팰리스(PALACE","860만원",8600000,테이블정가,"UM)관 팰리스(PALACE)관 에덴(EDEN)관 루멘(LUMEN)관 8단 510 760 ..."
1,"(재)낙원추모공원",일반/무교,봉안당,"LACE)관	에덴(EDEN)","560만원",5600000,테이블정가,"LACE)관 에덴(EDEN)관 루멘(LUMEN)관 8단 510 760 860 - - 7단 ..."
1,"(재)낙원추모공원",일반/무교,봉안당,"덴(EDEN)관	루멘(LUM","960만원",9600000,테이블정가,"덴(EDEN)관 루멘(LUMEN)관 8단 510 760 860 - - 7단 560 860 ..."
1,"(재)낙원추모공원",일반/무교,기타,"510	760	860	-	-","160만원",1600000,테이블정가,"510 760 860 - - 7단 560 860 960 - - 6단 860 1,060 1,..."
1,"(재)낙원추모공원",일반/무교,봉안당,"60	1,360","660만원",6600000,테이블정가,"60 1,360 4단 860 1,160 1,360 3단 760 1,160 1,360 2단 ..."
1,"(재)낙원추모공원",일반/무교,봉안당,"과 기품을 영원히 간직할 수","1899만원",18990000,테이블정가,"과 기품을 영원히 간직할 수 있는 에데나만의 프리미엄 낙원추모공원 둘러보기 전화상담 : 1..."
1,"(재)낙원추모공원",일반/무교,봉안당,"영원히 간직할 수 있는 에데","2349만원",23490000,테이블정가,"영원히 간직할 수 있는 에데나만의 프리미엄 낙원추모공원 둘러보기 전화상담 : 1899-23..."
1,"(재)낙원추모공원",일반/무교,봉안당,"상담","1402만원",14020000,테이블정가,"상담 TOP 재단법인 낙원추모공원 봉안당 에데나 / 경상남도 김해시 한림면 김해대로 140..."
1,"(재)낙원추모공원",일반/무교,봉안당,"재단법인 낙원추모공원 봉안당","148만원",1480000,테이블정가,"재단법인 낙원추모공원 봉안당 에데나 / 경상남도 김해시 한림면 김해대로 1402번길 148..."
1,"(재)낙원추모공원",일반/무교,기타,"김해시 한림면 김해대로 14","622만원",6220000,테이블정가,"김해시 한림면 김해대로 1402번길 148 / 대표자. 박승현 / 사업자등록번호. 622-..."
1,"(재)낙원추모공원",일반/무교,기타,"/  사업자등록번호. 622","343만원",3430000,테이블정가,"/ 사업자등록번호. 622-82-00505 T. 1899-2349 / F. 055)343-..."
1,"(재)낙원추모공원",일반/무교,기타,"사업자등록번호. 622-82","0650만원",6500000,테이블정가,"사업자등록번호. 622-82-00505 T. 1899-2349 / F. 055)343-06..."
1,"(재)낙원추모공원",일반/무교,기타,"505","2023만원",20230000,테이블정가,"505 T. 1899-2349 / F. 055)343-0650 Copyright © 202..."
2,"(재)실로암공원묘원",일반/무교,-,정보 없음,-,0,-,텍스트 없음
4,"재단법인울산공원묘원",일반/무교,-,정보 없음,-,0,-,텍스트 없음
5,"진주내동공원묘원",일반/무교,묘지,"대표전화 055) 756-1","756만원",7560000,테이블정가,"대표전화 055) 756-1500 Home Contact us 공원안내 매장묘안내 봉안당안..."
5,"진주내동공원묘원",일반/무교,묘지,"대표전화 055) 756-1","1500만원",15000000,테이블정가,"대표전화 055) 756-1500 Home Contact us 공원안내 매장묘안내 봉안당안..."
5,"진주내동공원묘원",일반/무교,묘지,"대표전화 055) 756-1","150만원",1500000,테이블정가,"대표전화 055) 756-1500 Home Contact us 공원안내 매장묘안내 봉안당안..."
