번호,시설명,URL
1,(재)낙원추모공원,https://www.nakwonpark.co.kr/bbs/content.php?co_id=01_03
2,(재)실로암공원묘원,http://www.siloami.com/bbs/write.php?bo_table=qa1
3,(재)삼덕공원묘원,https://myungdangga.co.kr/mourning/539
4,재단법인울산공원묘원,http://ulsanpark.org/
5,진주내동공원묘원,http://www.ndpark.co.kr/doc/parcel01.html
6,신불산공원묘원,http://www.shinbulsanpark.co.kr/
7,예산군추모공원,https://www.yesan.go.kr/kor/sub06_13_04_02_06.do
8,(재)대지공원묘원,http://dmonster1355.cafe24.com/
9,재단법인선산공원묘원,http://sunsanpark.co.kr/main.html
10,재단법인 솥발산공원묘원,https://www.linktoplace.com/?action=view&no=12988&name=%EC%9E%AC%EB%8B%A8%EB%B2%95%EC%9D%B8+%EC%86%A5%EB%B0%9C%EC%82%B0%EA%B3%B5%EC%9B%90%EB%AC%98%EC%9B%90
11,재단법인 로엠(묘지),https://xn--ob0bz2e4zbexiv9vu3t.com/
12,(재)화산추모공원(묘지),http://www.hwasanpark.co.kr/page/sub1-2.php
13,(재)서울공원묘원,http://www.scpark.co.kr/m2/s2t3.asp
14,(재)자하연 일산(묘지),http://www.jahayeon.com/home/m_board.php?ps_db=counsel
15,(재)이화공원묘원,https://www.djmw.co.kr/index.php?device=mobile
16,김해공원묘원,https://www.goifuneral.co.kr/memorial/place/%EA%B9%80%ED%95%B4%EA%B3%B5%EC%9B%90%EB%AC%98%EC%9B%90/
17,파주하늘나라공원,https://xn--ob0bz2e4zbexiv9vu3t.com/
18,보령시모란공원,https://www.brsisul.or.kr/kor/sub01_03_02.do
19,(재)남양공원묘원,https://apply.cheotjang.com/info/%EC%84%B1%EC%A3%BC%EA%B5%B0-%EC%88%98%EB%AA%A9%EC%9E%A5-%EB%82%A9%EA%B3%A8%EB%8B%B9-%EC%95%88%EB%82%B4
20,목련공원묘원,https://www.goifuneral.co.kr/memorial/place/%EB%AA%A9%EB%A0%A8%EA%B3%B5%EC%9B%90%EB%AC%98%EC%9B%90/
21,물미묘원,https://www.gangwon-portal.co.kr/gangwon-veterans/facility/%EB%AC%BC%EB%AF%B8%EB%AC%98%EC%9B%90/
22,천주교안성추모공원(묘원),http://www.ampark.co.kr/m/index.php
23,함양하늘공원(묘지),http://hamanhaneul.or.kr/
24,(재)하늘나라공원 포천묘원,https://xn--ob0bz2e4zbexiv9vu3t.com/
25,금릉공원묘원,https://www.grpark.co.kr/facility/list
26,(재)경춘공원묘원,https://www.gyoungchun.com/contents/family.html
27,우성공원묘원,http://www.woosungpark.com/bbs/board.php?bo_table=sub0101
28,(재)화신공원묘원,https://www.honam-funeralcenter.co.kr/facility-recommend-item/752/
29,청파동성당 청파묘원,http://cpdsd.or.kr/front/community/p0201
30,(재)풍산공원묘원,http://www.pungsanpark.co.kr/
31,청파동성당 평화묘원,http://cpdsd.or.kr/front/community/p0201
32,(재)호정공원(묘지),http://www.hjcloud9.com/
33,(주)광림공원 동산공원묘원(묘지),http://dongsanpark.com/greetings.asp
34,삼척시추모공원 묘지 제1단지,https://www.samcheok.go.kr/memorial/
35,(재)동산공원묘원,http://dongsanpark.com/greetings.asp
36,유달공원묘지,https://www.15774129.go.kr/
37,(재)지평선전북공원묘원(묘지),http://www.jbpark.co.kr/html/intro_05.html
38,(재)진달래문화재단,https://www.jindallae.kr/46
