넘버,이름,사용료 항목,사용료 내역,요금
1,함안하늘공원(자연장지),일반(관내),잔디형 사용료/30년(연장불가)/1기당,"300,000 원"
1,함안하늘공원(자연장지),일반(관외),잔디형 사용료/30년(연장불가)/1기당,"600,000 원"
1,함안하늘공원(자연장지),일반(관내),수목형 사용료/30년(연장불가)/1기당,"350,000 원"
1,함안하늘공원(자연장지),일반(관외),수목형 사용료/30년(연장불가)/1기당,"900,000 원"
1,함안하늘공원(자연장지),일반-국가보훈대상자(관내),잔디형  사용료/30년(연장불가)1기당,0
1,함안하늘공원(자연장지),일반-국가보훈대상자(관외),잔디형 사용료/30년(연장불가)/1기당,0
1,함안하늘공원(자연장지),일반-국가보훈대상자(관내),수목형 사용료/30년(연장불가)/1기당,0
1,함안하늘공원(자연장지),일반-국가보훈대상자(관외),수목형 사용료/30년(연장불가)/1기당,0
1,함안하늘공원(자연장지),일반-기초생활수급자(관내),잔디형 사용료/30년(연장불가)/1기당,0
1,함안하늘공원(자연장지),일반-기초생활수급자(관외),잔디형 사용료/30년(연장불가)/1기당,0
1,함안하늘공원(자연장지),일반-기초생활수급자(관내),수목형 사용료/30년(연장불가)/1기당,0
1,함안하늘공원(자연장지),일반-기초생활수급자(관외),수목형 사용료/30년(연장불가)/1기당,0
1,함안하늘공원(자연장지),일반-함안군의로운군민의사상자(관내),잔디형 사용료/30년(연장불가)/1기당,0
1,함안하늘공원(자연장지),일반-함안군의로운군민의사상자(관내),수목형 사용료/30년(연장불가)/1기당,0
1,함안하늘공원(자연장지),일반(관내),잔디형 관리비/30년(연장불가)/1기당,"100,000 원"
1,함안하늘공원(자연장지),일반(관외),잔디형 관리비/30년(연장불가)/1기당,"300,000 원"
1,함안하늘공원(자연장지),일반(관내),수목형 관리비/30년(연장불가)/1기당,"100,000 원"
1,함안하늘공원(자연장지),일반(관외),수목형 관리비/30년(연장불가)/1기당,"300,000 원"
1,함안하늘공원(자연장지),일반-국가보훈대상자(관내),잔디형 관리비/30년(연장불가)/1기당,"100,000 원"
1,함안하늘공원(자연장지),일반-국가보훈대상자(관외),잔디형 관리비/30년(연장불가)/1기당,"300,000 원"
1,함안하늘공원(자연장지),일반-국가보훈대상자(관내),수목형 관리비/30년(연장불가)/1기당,"100,000 원"
1,함안하늘공원(자연장지),일반-국가보훈대상자(관외),수목형 관리비/30년(연장불가)/1기당,"300,000 원"
1,함안하늘공원(자연장지),일반-기초생활수급자(관내),잔디형 관리비/30년(연장불가)/1기당,"100,000 원"
1,함안하늘공원(자연장지),일반-기초생활수급자(관외),잔디형 관리비/30년(연장불가)/1기당,"300,000 원"
1,함안하늘공원(자연장지),일반-기초생활수급자(관내),수목형 관리비/30년(연장불가)/1기당,"100,000 원"
1,함안하늘공원(자연장지),일반-기초생활수급자(관외),수목형 관리비/30년(연장불가)/1기당,"300,000 원"
1,함안하늘공원(자연장지),일반-함안군의로운군민의사상자(관내),잔디형 관리비/30년(연장불가)/1기당,"100,000 원"
1,함안하늘공원(자연장지),일반-함안군의로운군민의사상자(관내),수목형 관리비/30년(연장불가)/1기당,"100,000 원"
2,남해추모누리공원 자연장지,자연장지(1구),"관내,30년 사용","300,000 원"
2,남해추모누리공원 자연장지,자연장지(1구),"관내,30년 관리","60,000 원"
2,남해추모누리공원 자연장지,자연장지(1구),"관외,30년 사용","900,000 원"
2,남해추모누리공원 자연장지,자연장지(1구),"관외,30년 관리","180,000 원"
2,남해추모누리공원 자연장지,자연장지(2구),"관내,30년 사용","550,000 원"
2,남해추모누리공원 자연장지,자연장지(2구),"관내,30년 관리","90,000 원"
2,남해추모누리공원 자연장지,자연장지(2구),"관외,30년 사용","1,650,000 원"
2,남해추모누리공원 자연장지,자연장지(2구),"관외,30년 관리","270,000 원"
2,남해추모누리공원 자연장지,자연장지(4구),"관내,30년 사용","1,100,000 원"
2,남해추모누리공원 자연장지,자연장지(4구),"관내,30년 관리","150,000 원"
2,남해추모누리공원 자연장지,자연장지(4구),"관외,30년 사용","3,300,000 원"
2,남해추모누리공원 자연장지,자연장지(4구),"관외,30년 관리","450,000 원"
2,남해추모누리공원 자연장지,자연장지(6구),"관내,30년 사용","1,650,000 원"
2,남해추모누리공원 자연장지,자연장지(6구),"관내,30년 관리","210,000 원"
2,남해추모누리공원 자연장지,자연장지(6구),"관외,30년 사용","4,950,000 원"
2,남해추모누리공원 자연장지,자연장지(6구),"관외,30년 관리","630,000 원"
2,남해추모누리공원 자연장지,"자연장지,문중종중(48기이하)","관내, 기당, 사용","275,000 원"
2,남해추모누리공원 자연장지,"자연장지,문중종중(48기이하)","관내, 관리","15,000 원"
2,남해추모누리공원 자연장지,"자연장지,문중종중(48기이하)","관외, 기당, 사용","825,000 원"
2,남해추모누리공원 자연장지,"자연장지,문중종중(48기이하)","관외, 관리","45,000 원"
3,은하수공원 자연장지,개인장,관내,"650,000 원"
3,은하수공원 자연장지,행복개장,관내,"500,000 원"
3,은하수공원 자연장지,가족4기,관내,"2,600,000 원"
3,은하수공원 자연장지,가족6기,관내,"3,900,000 원"
3,은하수공원 자연장지,가족8기,관내,"5,200,000 원"
3,은하수공원 자연장지,종중장,관내,"500,000 원"
3,은하수공원 자연장지,종중장,부부합장,"680,000 원"
3,은하수공원 자연장지,개인장,관외,"975,000 원"
3,은하수공원 자연장지,가족4기,관외,"3,900,000 원"
3,은하수공원 자연장지,가족6기,관외,"5,850,000 원"
3,은하수공원 자연장지,가족8기,관외,"7,800,000 원"
3,은하수공원 자연장지,공동목(관내),1위기준,"930,000 원"
3,은하수공원 자연장지,가족4위,관내,"3,720,000 원"
3,은하수공원 자연장지,가족8위,관내,"7,440,000 원"
3,은하수공원 자연장지,공동목(관외),1위기준,"1,400,000 원"
3,은하수공원 자연장지,가족4위,관외,"5,600,000 원"
3,은하수공원 자연장지,가족8위,관외,"11,200,000 원"
3,은하수공원 자연장지,잔디장 합장료,관내,"260,000 원"
3,은하수공원 자연장지,잔디장 합장료,관외,"390,000 원"
4,유토피아수목장,일반수목/개인형(1기),관리비5만원(1년)/5년선납,"3,500,000 원"
4,유토피아수목장,일반수목/부부형(2기),관리비5만원(1년)/5년선납,"5,000,000 원"
4,유토피아수목장,일반수목/가족형(4기),관리비5만원(1년)/5년선납,"7,000,000 원"
4,유토피아수목장,일반수목/대가족형(8기),관리비10만원(1년)/5년선납,"11,000,000 원"
4,유토피아수목장,일반수목/공동형(1기),관리비2만원(1년)/5년선납,"1,500,000 원"
4,유토피아수목장,해송 소나무/개인형(1기),관리비7만원(1년)/5년선납,"5,000,000 원"
4,유토피아수목장,해송 소나무/부부형(2기),관리비7만원(1년)/5년선납,"6,500,000 원"
4,유토피아수목장,해송 소나무/가족형(4기),관리비7만원(1년)/5년선납,"8,500,000 원"
4,유토피아수목장,해송 소나무/대가족형(8기),관리비14만원(1년)/5년선납,"14,000,000 원"
4,유토피아수목장,소나무/개인형(1기),관리비7만원(1년)/5년선납,"6,500,000 원"
4,유토피아수목장,소나무/부부형(2기),관리비7만원(1년)/5년선납,"8,500,000 원"
4,유토피아수목장,소나무/가족형(4기),관리비7만원(1년)/5년선납,"12,000,000 원"
4,유토피아수목장,소나무/대가족형(8기),관리비14만원(1년)/5년선납,"19,000,000 원"
4,유토피아수목장,일반수목/가족형(4기),관리비5만원(1년)/5년선납,"10,000,000 원"
4,유토피아수목장,소나무/대가족형(8기),관리비28만원(1년)/5년선납,"40,000,000 원"
4,유토피아수목장,반송/부부형(2기),관리비7만원(1년)/5년선납,"10,000,000 원"
4,유토피아수목장,반송/가족형(4기),관리비14만원(1년)/5년선납,"15,000,000 원"
4,유토피아수목장,반송/가족형(8기),관리비14만원(1년)/5년선납,"20,000,000 원"
5,화성하늘공원수목장림,없음,없음,없음
6,신불산 추모공원 수목장,수목장지(1위),,"2,000,000 원"
6,신불산 추모공원 수목장,수목 잔디 가족장지,,"4,000,000 원"
6,신불산 추모공원 수목장,수목 가족장지,,"5,000,000 원"
6,신불산 추모공원 수목장,수목 가족장지,,"9,000,000 원"
6,신불산 추모공원 수목장,대가족형,"17,000,000~24,000,000",
6,신불산 추모공원 수목장,가족형,,"15,000,000 원"
6,신불산 추모공원 수목장,가족형,,"5,000,000 원"
6,신불산 추모공원 수목장,"개인,부부형",,"3,000,000 원"
6,신불산 추모공원 수목장,연관리비,,"300,000 원"
6,신불산 추모공원 수목장,연관리비,,"213,400 원"
6,신불산 추모공원 수목장,연관리비,,"106,800 원"
6,신불산 추모공원 수목장,연관리비,,"85,400 원"
6,신불산 추모공원 수목장,연관리비,,"64,000 원"
6,신불산 추모공원 수목장,연관리비,,"42,600 원"
6,신불산 추모공원 수목장,연관리비,,"21,400 원"
6,신불산 추모공원 수목장,"개인,부부형",양산시민 기초생활수급자(10%할인),"2,700,000 원"
7,자연숲추모공원 수목장림,가족목/조형목(A등급),기간:30년(4인기준) / 사용료 500만원 + 관리비450만원,"9,500,000 원"
7,자연숲추모공원 수목장림,가족목/조형목(B등급),기간:30년(4인기준) / 사용료 450만원 + 관리비450만원,"9,000,000 원"
7,자연숲추모공원 수목장림,가족목/조림목(A등급),기간:30년(4인기준) / 사용료 400만원 + 관리비360만원,"7,600,000 원"
7,자연숲추모공원 수목장림,가족목/조림목(B등급),기간:30년(4인기준) / 사용료 360만원 + 관리비360만원,"7,200,000 원"
7,자연숲추모공원 수목장림,가족목/자연목(A등급),기간:30년(4인기준) / 사용료 300만원 + 관리비360만원,"6,600,000 원"
7,자연숲추모공원 수목장림,가족목/자연목(B등급),기간:30년(4인기준) / 사용료 260만원 + 관리비360만원,"6,200,000 원"
7,자연숲추모공원 수목장림,가족목/자연목(C등급),기간:30년(4인기준) / 사용료 200만원 + 관리비265만원,"4,650,000 원"
7,자연숲추모공원 수목장림,부부목/조형목,기간:30년(2인기준) / 사용료 200만원 + 관리비350만원,"5,500,000 원"
7,자연숲추모공원 수목장림,부부목/조림목,기간:30년(2인기준) / 사용료 200만원 + 관리비250만원,"4,500,000 원"
7,자연숲추모공원 수목장림,공동목(A등급),기간:30년(1인기준) / 사용료 87만원 + 관리비60만원,"1,470,000 원"
7,자연숲추모공원 수목장림,공동목(B등급),기간:30년(1인기준) / 사용료 30만원 + 관리비60만원,"900,000 원"
7,자연숲추모공원 수목장림,잔디장/1인(개인),기간:30년(1인기준) / 사용료 30만원 + 관리비60만원,"900,000 원"
7,자연숲추모공원 수목장림,잔디장/2인(부부),기간:30년(2인기준) / 사용료 60만원 + 관리비90만원,"1,500,000 원"
7,자연숲추모공원 수목장림,가족목/자연목/취약계층,기간:15년(3인기준) / 사용료 100만원+관리비132.5만원,"2,325,000 원"
7,자연숲추모공원 수목장림,공동목/취약계층,기간:30년(1인기준) / 사용료 87만원 + 관리비60만원,"1,470,000 원"
8,에버그린수목장,잔디A,1위,"1,500,000 원"
8,에버그린수목장,잔디B,1위,"2,000,000 원"
8,에버그린수목장,수목형잔디장,1위,"3,000,000 원"
8,에버그린수목장,측백,2위,"5,000,000 원"
8,에버그린수목장,에메랄드골드,2위,"6,000,000 원"
8,에버그린수목장,황금측백,2위-4위,"8,000,000 원"
8,에버그린수목장,소나무,4위-8위,"17,000,000 원"
8,에버그린수목장,반송,4위-6위,"17,000,000 원"
8,에버그린수목장,반송대,8위-12위,"30,000,000 원"
8,에버그린수목장,백송,8위-12위,"30,000,000 원"
9,정안수목장,최고급수목장,20기,"35,000,000 원"
9,정안수목장,공동수목장,1기,"1,000,000 원"
9,정안수목장,부부수목장,2기,"9,000,000 원"
9,정안수목장,개인수목장,1기,"3,000,000 원"
9,정안수목장,개인수목장,1기,"4,000,000 원"
9,정안수목장,개인수목장,1기,"5,000,000 원"
9,정안수목장,부부수목장,2기,"8,000,000 원"
9,정안수목장,부부수목장,2기,"10,000,000 원"
9,정안수목장,가족수목장,4기,"10,000,000 원"
9,정안수목장,가족수목장,8기,"25,000,000 원"
9,정안수목장,가족수목,6기,"15,000,000 원"
9,정안수목장,고급수목장,8기,"20,000,000 원"
9,정안수목장,최고급수목장,10기,"30,000,000 원"
9,정안수목장,최고급수목장,30기,"40,000,000 원"
10,에덴의정원 수목장,자연장1(공동장),1기,"2,000,000 원"
10,에덴의정원 수목장,자연장2(공동장),1기,"3,000,000 원"
10,에덴의정원 수목장,개인목,1기,"5,000,000 원"
10,에덴의정원 수목장,부부목,2기,"8,000,000 원"
10,에덴의정원 수목장,소가족목,4기,"10,000,000 원"
10,에덴의정원 수목장,가족목1,6기,"18,000,000 원"
10,에덴의정원 수목장,가족목2,8기,"23,000,000 원"
10,에덴의정원 수목장,가족목3,10기,"29,000,000 원"
10,에덴의정원 수목장,대가족목,14기,"39,000,000 원"
11,천봉사자연장지,대가족목,반송,"3,000 원"
11,천봉사자연장지,대가족목,반송,"3,900 원"
11,천봉사자연장지,대가족목,반송,"4,300 원"
11,천봉사자연장지,가족목,조경송,"1,200 원"
11,천봉사자연장지,가족목,조경송,800 원
11,천봉사자연장지,가족목,조경송,900 원
11,천봉사자연장지,개인목,주목,200 원
11,천봉사자연장지,개인목,사철나무,200 원
11,천봉사자연장지,공동목,장송,100 원
11,천봉사자연장지,공동목,소나무,100 원
11,천봉사자연장지,공동목,반송,100 원
12,일산공감수목장(봉화사),개인목(1위),관리비 년 4~5만원 / 5년 선납,"6,000,000 원"
12,일산공감수목장(봉화사),부부목(2위),관리비 년 5~9만원 / 5년 선납,"10,000,000 원"
12,일산공감수목장(봉화사),가족목(4위),관리비 년 12~20만원 / 5년 선납,"35,000,000 원"
12,일산공감수목장(봉화사),공동목,년 4만원 / 5년선납,"3,000,000 원"
12,일산공감수목장(봉화사),1. 계약금 환불 (계약금만 납부하고 해지),"30일 이내 100%, 6개월 이하 90%, 1년 이하 80%, 1년 초과 자동해지",0
12,일산공감수목장(봉화사),2. 사용료 환불 (완납 후 유골 미안치 해지),"6개월 이하 55%, 1년 이하 50%, 1년 초과 취소불가",0
12,일산공감수목장(봉화사),3. 유골 안치 후 해지,환불없음,
12,일산공감수목장(봉화사),4. 관리비 환불,관리비 환불금 = 관리비 1일분 * 남아있는 관리일,
13,용인추모원 자연장지,공동목 / 개인,12위,"3,500,000 원"
13,용인추모원 자연장지,공동목 / 개인,12위,"3,500,000 원"
13,용인추모원 자연장지,공동목 / 개인,24위,"2,000,000 원"
13,용인추모원 자연장지,공동목 / 부부,24위,"4,000,000 원"
13,용인추모원 자연장지,가족목,2위,"5,000,000 원"
13,용인추모원 자연장지,가족목,4위,"20,000,000 원"
13,용인추모원 자연장지,가족목,8위,"30,000,000 원"
13,용인추모원 자연장지,5년 관리비,1위,"200,000 원"
14,의성군 천제공원(자연장지),"잔디장지(개인,관내)",30년,"600,000 원"
14,의성군 천제공원(자연장지),"잔디장지(개인,관내등록기준지)",관내등록기준지는 「가족관계의 등록 등에 관한 법률」제9조에 따른 등록기준지가 사망당시 의성군으로 되어 있는 사람,"1,200,000 원"
14,의성군 천제공원(자연장지),"수목장(공동목,관내)",30년,"600,000 원"
14,의성군 천제공원(자연장지),"수목장(공동목,관내등록기준지)",관내등록기준지는 「가족관계의 등록 등에 관한 법률」제9조에 따른 등록기준지가 사망당시 의성군으로 되어 있는 사람,"1,200,000 원"
14,의성군 천제공원(자연장지),"잔디장지(합장,관내)",30년,"300,000 원"
14,의성군 천제공원(자연장지),"잔디장지(합장,관내등록기준지)",관내등록기준지는 「가족관계의 등록 등에 관한 법률」제9조에 따른 등록기준지가 사망당시 의성군으로 되어 있는 사람,"600,000 원"
14,의성군 천제공원(자연장지),"잔디장지(가족,관내)",30년,"2,400,000 원"
