ParkID,ParkName,Category,ItemName,Price,RawText
park-0001,(재)낙원추모공원,기본비용,묘지사용료 (1평형 기준),3000000,
park-0001,(재)낙원추모공원,관리비,묘지관리비 (1평),25000,관리비 1평형/1 년 기준
park-0001,(재)낙원추모공원,매장묘,걸방석 2.3/2.5자,100000,
park-0001,(재)낙원추모공원,석물비,상석 2.3 세트,800000,[옵션: 고흥석]
park-0001,(재)낙원추모공원,석물비,상석 2.5 세트,1100000,"[옵션: 거창석, 고흥석]"
park-0001,(재)낙원추모공원,석물비,상석 2.7 세트,1300000,"[옵션: 걸방석 330,000원 포함]"
park-0001,(재)낙원추모공원,석물비,평장상석 2.5자,700000,[상세: 걸방석 제외]
park-0001,(재)낙원추모공원,매장묘,성경책,600000,
park-0001,(재)낙원추모공원,석물비,비석 3자 (오석),800000,
park-0001,(재)낙원추모공원,석물비,비석 3.5자 (오석),1500000,
park-0001,(재)낙원추모공원,매장묘,와비 2자 (오석),900000,
park-0001,(재)낙원추모공원,매장묘,와비 2.3자 (오석),1100000,
park-0001,(재)낙원추모공원,매장묘,와비 2.5자,1300000,[상세: (오석)]
park-0001,(재)낙원추모공원,매장묘,부부와비,800000,
park-0001,(재)낙원추모공원,매장묘,가족표석,400000,
park-0001,(재)낙원추모공원,매장묘,수목형 표석,800000,"[상세: 아이리스] / 카멜리아,플라타너스,낙원평장,다알리아추억 / [포함: 사랑, 하늘 정원(세우는 형태), 부부표석,]"
park-0001,(재)낙원추모공원,매장묘,부부표석,800000,
park-0001,(재)낙원추모공원,매장묘,월석,400000,(거창)비석 교체 시 사용
park-0001,(재)낙원추모공원,매장묘,월석,500000,(고흥)비석 교체 시 사용
park-0001,(재)낙원추모공원,매장묘,카멜리아 표석,400000,[상세: 비석 교체 시 사용]
park-0001,(재)낙원추모공원,매장묘,청여 표석,400000,[상세: 비석 교체 시 사용]
park-0001,(재)낙원추모공원,매장묘,식당이용료 (일반),15000,[상세: 1인 기준]
park-0001,(재)낙원추모공원,매장묘,식당이용료 (특식),18000,[상세: 1인 기준]
park-0001,(재)낙원추모공원,작업비,매장작업비,1500000,"[상세: 유골함일 경우 1] / 000,000"
park-0001,(재)낙원추모공원,매장묘,봉분 설치비,500000,
park-0001,(재)낙원추모공원,매장묘,처음 평장,1000000,
park-0001,(재)낙원추모공원,매장묘,추가 평장,400000,
park-0001,(재)낙원추모공원,매장묘,충곽,500000,"[포함: 탈관비작업비 300,000원 + 재료비 200,000원]"
park-0001,(재)낙원추모공원,작업비,리모델링 작업비 (1인),2700000,
park-0001,(재)낙원추모공원,작업비,리모델링 작업비 (2인),4200000,
park-0001,(재)낙원추모공원,작업비,가봉분 작업비 A일반봉분,1500000,
park-0001,(재)낙원추모공원,작업비,가봉분 작업비 B앞면조각봉분 이상,1800000,
park-0001,(재)낙원추모공원,작업비,가봉분 작업비 C원형봉분,2000000,
park-0001,(재)낙원추모공원,작업비,매장묘 개장작업비,1000000,[상세: 화장 제외 시 -100] / 000
park-0001,(재)낙원추모공원,작업비,평장묘 개장작업비,200000,"[규격: 150,000] / (공임)+50,000(1명당) / [포함: 유골함 비용 별도]"
park-0001,(재)낙원추모공원,작업비,개장정리비 (소),700000,
park-0001,(재)낙원추모공원,작업비,개장정리비,1000000,"(특수,4단형 이상)"
park-0001,(재)낙원추모공원,매장묘,봉분수선1년 1회 A,500000,S 보장
park-0001,(재)낙원추모공원,석물비,분묘수선석물수선,150000,명칭변경 / 단수에 따라 적용
park-0001,(재)낙원추모공원,매장묘,"각자대매장, 평장 구분없이 통합하여 사용",400000,
park-0001,(재)낙원추모공원,매장묘,조경유지비 5년분,150000,
park-0001,(재)낙원추모공원,매장묘,천막대여1동/1일,55000,
park-0001,(재)낙원추모공원,매장묘,추가각자대1인 추가,110000,"삭제 마다 33,000"
park-0001,(재)낙원추모공원,매장묘,나무제거 / 전지나무에 따라 차등 적용,55000,
park-0001,(재)낙원추모공원,매장묘,나무식재나무에 따라 차등 적용,66000,
park-0001,(재)낙원추모공원,매장묘,메탈포토A(일반형),330000,
park-0001,(재)낙원추모공원,매장묘,메탈포토B(L자형),330000,
park-0001,(재)낙원추모공원,매장묘,메탈포토C(다각형),440000,
park-0001,(재)낙원추모공원,매장묘,1단형봉분,1500000,(15전묘테) 추가
park-0001,(재)낙원추모공원,매장묘,1단형봉분,1500000,(30전묘테) 추가
park-0001,(재)낙원추모공원,매장묘,2단형봉분,3000000,"(2, 3평 평초) 1기 추가"
park-0001,(재)낙원추모공원,매장묘,3단형봉분,4500000,"(2, 3평 평초) 1기 추가"
park-0001,(재)낙원추모공원,매장묘,4단형봉분,6000000,(3평 평초판석) 1기 추가
park-0001,(재)낙원추모공원,매장묘,앞면조각봉분A,7000000,(3단형) 1기 추가
park-0001,(재)낙원추모공원,매장묘,앞면조각봉분B,8000000,(4단형) 1기 추가
park-0001,(재)낙원추모공원,매장묘,앞면조각봉분C,11000000,(3단형) 1기 추가
park-0001,(재)낙원추모공원,매장묘,앞면조각봉분D,12000000,(4단형) 1기 추가사용하지 않는 모델
park-0001,(재)낙원추모공원,매장묘,청여1 (4~8위),17200000,[상세: 신설]
park-0001,(재)낙원추모공원,매장묘,청여1 (6~12위),20200000,[상세: 신설]
park-0001,(재)낙원추모공원,매장묘,청여1 (8~16위),23200000,[상세: 신설]
park-0001,(재)낙원추모공원,매장묘,정원형 평장 2위 (단품),17500000,
park-0001,(재)낙원추모공원,매장묘,플라타너스 (단품),5100000,
park-0001,(재)낙원추모공원,매장묘,다알리아 (단품),3500000,
park-0001,(재)낙원추모공원,매장묘,클로버 (단품),3500000,
park-0001,(재)낙원추모공원,매장묘,아이리스,4100000,"(단품) - 대, 소"
park-0001,(재)낙원추모공원,매장묘,경계석 (15전),500000,
park-0001,(재)낙원추모공원,매장묘,"리모델링, 추가설치",300000,(경계석)
park-0001,(재)낙원추모공원,매장묘,"리모델링, 추가설치",1800000,(담장석)
park-0001,(재)낙원추모공원,매장묘,구판 (3자,300000,"[상세: , 와비 2자)]"
park-0001,(재)낙원추모공원,매장묘,구판 (3.5자,400000,"[상세: , 와지 2.3자)]"
park-0001,(재)낙원추모공원,매장묘,구판,700000,"(3.5자 특, 2.5자 와비)"
park-0001,(재)낙원추모공원,매장묘,석곽 / 석관,1400000,
park-0001,(재)낙원추모공원,매장묘,석봉분,1800000,(2/(3평)/자바라형) / 석봉분(2/3평형/자바라형)
park-0001,(재)낙원추모공원,매장묘,갓 (3.5자),1100000,
park-0001,(재)낙원추모공원,매장묘,"사각, 원형석실",400000,"(부부)1인 석실(200,000원)"
park-0001,(재)낙원추모공원,매장묘,삼향로,400000,
park-0001,(재)낙원추모공원,매장묘,특삼향로,500000,
park-0001,(재)낙원추모공원,매장묘,석화분2EA,100000,
park-0001,(재)낙원추모공원,매장묘,석등,2000000,
park-0001,(재)낙원추모공원,매장묘,판석,1500000,
park-0001,(재)낙원추모공원,작업비,야간 작업비,300000,[상세: 기존 작업비에 추가]
park-0001,(재)낙원추모공원,매장묘,개인 매장묘 (3평형),20275000,"[가격정보: 20, 275, 000원 부터 ~]"
park-0001,(재)낙원추모공원,매장묘,부부 매장묘 (6평형),31150000,"[가격정보: 31, 150, 000원 부터 ~]"
park-0001,(재)낙원추모공원,매장묘,프리미엄 부부 매장묘,64650000,"(6~12평형) / [옵션: 담장시설] / [가격정보: 64, 650, 000원 부터 ~]"
park-0001,(재)낙원추모공원,매장묘,부부 수목형 평장묘,8500000,"[가격정보: 8,500,000원 부터 ~]"
park-0001,(재)낙원추모공원,매장묘,프리미엄 부부 평장묘,21800000,"[옵션: 담장시설] / [가격정보: 21,800,000원 부터 ~]"
park-0001,(재)낙원추모공원,매장묘,프리미엄 가족 평장묘,28950000,"[옵션: 담장시설] / [가격정보: 28,950,000원 부터 ~]"
park-0001,(재)낙원추모공원,자연장,바닥 잔디 (평형),100000,
park-0001,(재)낙원추모공원,매장묘,월석 각자대,200000,
park-0001,(재)낙원추모공원,매장묘,철쭉식재,20000,"(1EA)철쭉 1개당 20,000"
park-0001,(재)낙원추모공원,매장묘,정원형 평장 2위 (추),9500000,
park-0001,(재)낙원추모공원,매장묘,담장형 평장묘 (동백4),12500000,
park-0001,(재)낙원추모공원,매장묘,담장형 월석평장묘,14000000,(동백6) 최대 4위
park-0001,(재)낙원추모공원,매장묘,담장형 월석평장묘,15000000,(동백6) 최대 6위
park-0001,(재)낙원추모공원,매장묘,정원형 평장E(백합3가),25000000,
park-0001,(재)낙원추모공원,매장묘,정원형 고흥 6위,30000000,[규격: (백합3가)]
park-0001,(재)낙원추모공원,매장묘,평장E,15000000,
park-0001,(재)낙원추모공원,매장묘,평장 2위 위백14에만 판매,18000000,
park-0001,(재)낙원추모공원,매장묘,청여2 (2~4위),11900000,
park-0001,(재)낙원추모공원,매장묘,청여2 (4~8위),14900000,
park-0001,(재)낙원추모공원,매장묘,청여2 (6~12위),17900000,
park-0001,(재)낙원추모공원,매장묘,유골함,110000,(한지)규격 (18*18*18)
park-0001,(재)낙원추모공원,매장묘,의전 서비스1회 기준,300000,
park-0001,(재)낙원추모공원,매장묘,유골함 (봉안당전용),1320000,[상세: 규격] / [상세: 21.5 * 15.5]
park-0001,(재)낙원추모공원,매장묘,개토제 또는 산신제,150000,(택1)1회 기준
park-0001,(재)낙원추모공원,매장묘,식사 (일반식),15000,[상세: 1인 기준]
park-0001,(재)낙원추모공원,매장묘,식사 (갈비탕),18000,[상세: 1인 기준]
park-0001,(재)낙원추모공원,매장묘,장례진행비각자대,700000,"매장신고대행, 의전 진행 포함"
park-0001,(재)낙원추모공원,매장묘,팔각 유골함,220000,(한지)규격(18*18*19) / 향균 기능
park-0002,(재)실로암공원묘원,기본비용,묘지사용료 (1평),2160000,
park-0002,(재)실로암공원묘원,관리비,묘지관리비 (1평),16000,관리비 1평/1 년
park-0002,(재)실로암공원묘원,석물비,상석애석 (2.3),500500,"(금액: 500,500원 부터)"
park-0002,(재)실로암공원묘원,석물비,상석애석 (2.5),643500,"(금액: 643,500원 부터)"
park-0002,(재)실로암공원묘원,석물비,상석애석 (3.0),822250,"(금액: 822,250원 부터)"
park-0002,(재)실로암공원묘원,석물비,상석오석 (3.0),1287000,"(금액: 1,287,000원 부터)"
park-0002,(재)실로암공원묘원,석물비,상석오석 (3.3),1430000,"(금액: 1,430,000원 부터)"
park-0002,(재)실로암공원묘원,석물비,상석청석 (2.5),1100000,"(금액: 1,100,000원 부터)"
park-0002,(재)실로암공원묘원,석물비,비석 (3.0),822250,"(금액: 822,250원 부터)"
park-0002,(재)실로암공원묘원,석물비,비석 (3.7),1144000,"(금액: 1,144,000원 부터)"
park-0002,(재)실로암공원묘원,석물비,비석 (4.0),1430000,"(금액: 1,430,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,와비 (2.3),822250,"(금액: 822,250원 부터)"
park-0002,(재)실로암공원묘원,매장묘,와비 (2.5),1001000,"(금액: 1,001,000원 부터)"
park-0002,(재)실로암공원묘원,석물비,6기 구형 비석,1001000,"(금액: 1,001,0)"
park-0002,(재)실로암공원묘원,석물비,9기 구형 비석,858000,"(금액: 858,000)"
park-0002,(재)실로암공원묘원,석물비,4기 비석 (신형),736000,"(금액: 736,000)"
park-0002,(재)실로암공원묘원,석물비,9기 비석 (신형),786500,"(금액: 786,500)"
park-0002,(재)실로암공원묘원,석물비,소형평장와비,341000,"(금액: 341,000)"
park-0002,(재)실로암공원묘원,매장묘,갓석 (소),672100,"(금액: 672,100원 부터)"
park-0002,(재)실로암공원묘원,매장묘,갓석 (대),757900,"(금액: 757,900원 부터)"
park-0002,(재)실로암공원묘원,매장묘,좌대 (소),246675,"(금액: 246,675원 부터)"
park-0002,(재)실로암공원묘원,매장묘,좌대 (대),286000,"(금액: 286,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,와비좌대,286000,"(금액: 286,000원 부터)"
park-0002,(재)실로암공원묘원,석물비,둘레석 (소),1001000,"(금액: 1,001,000원 부터)"
park-0002,(재)실로암공원묘원,석물비,둘레석 1단,1480050,"(금액: 1,480,050원 부터)"
park-0002,(재)실로암공원묘원,석물비,둘레석 2단,2631200,"(금액: 2,631,200원 부터)"
park-0002,(재)실로암공원묘원,석물비,둘레석 청 3단 소,5005000,"(금액: 5,005,000원 부터)"
park-0002,(재)실로암공원묘원,석물비,둘레석 청 3단 대,5434000,"(금액: 5,434,000원 부터)"
park-0002,(재)실로암공원묘원,석물비,원형둘레석,5720000,"(금액: 5,720,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,월석 (소),328900,"(금액: 328,900원 부터)"
park-0002,(재)실로암공원묘원,매장묘,월석 (대),429000,"(금액: 429,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,북석,572000,"(금액: 572,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,화병 (소),328900,"(금액: 328,900원 부터)"
park-0002,(재)실로암공원묘원,매장묘,화병 (대),429000,"(금액: 429,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,석관,1155000,"(금액: 1,155,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,성경책,572000,"(금액: 572,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,삼향로,429000,"(금액: 429,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,각자대특수마크 금액추가,330000,"(금액: 330,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,봉분설치비일반,600000,"(금액: 600,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,봉분설치비특수,1100000,"(금액: 1,100,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,봉분수선비,500000,"(금액: 500,000원 부터)"
park-0002,(재)실로암공원묘원,작업비,개장정리비,400000,"(금액: 400,000원 부터)"
park-0002,(재)실로암공원묘원,작업비,개장,800000,"(금액: 800,000원 부터)"
park-0002,(재)실로암공원묘원,매장묘,매장묘 (2.5평,12000000,"[포함: 단봉)사용료, 5년관리비, 매장작업비, 봉분설치비, 1인석물비용 1회 각자대포함 총계 11, 131,] / (금액: 000원 부터) / 매장묘(2.5평형/단봉) 사용료, 5 년 관리비, 매장작업비, 봉분설치비, 1인석물비용 1회 각자대 포함 총계 11,131,000~"
park-0002,(재)실로암공원묘원,매장묘,매장묘 (2.5평,18000000,"[포함: 쌍봉)사용료, 5년관리비, 매장작업비, 봉분설치비, 1인석물비용 1회 각자대포함 총계 16, 559,] / (금액: 000원 부터) / 매장묘(2.5평형/쌍봉) 사용료, 5 년 관리비, 매장작업비, 봉분설치비, 1인석물비용 1회 각자대 포함 총계 16,559,000~"
