ID,시설명,기관,분류 1,분류 2,분류 3,항목명 1(대표),항목명 2(상세),비고/설명,가격
"1","(재)낙원추모공원","공설","기타","개인단","","2만원","식당이용료(일반)인 기준15,000","식당이용료(일반)1인 기준15,000",15000
"1","(재)낙원추모공원","공설","기타","개인단","","2만원","식사(일반식)인 기준15,000","식사(일반식)1인 기준15,000",15000
"1","(재)낙원추모공원","공설","기타","개인단","","2만원","식당이용료(특식)인 기준18,000","식당이용료(특식)1인 기준18,000",18000
"1","(재)낙원추모공원","공설","기타","개인단","","2만원","식사(갈비탕)인 기준18,000","식사(갈비탕)1인 기준18,000",18000
"1","(재)낙원추모공원","공설","기타","","","2만원","철쭉식재(EA)철쭉 1개당 20,000원20,000","철쭉식재(1EA)철쭉 1개당 20,000원20,000",20000
"1","(재)낙원추모공원","공설","매장묘","","","매장묘 3만원","총매장능력 개편의시설","총매장능력30,000 개편의시설",30000
"1","(재)낙원추모공원","공설","기타","","","6만원","천막대여동/1일55,000","천막대여1동/1일55,000",55000
"1","(재)낙원추모공원","공설","기타","","","","나무제거 / 전지나무에 따라 차등 적용","나무제거 / 전지나무에 따라 차등 적용55,000",55000
"1","(재)낙원추모공원","공설","기타","","","7만원","나무식재나무에 따라 차등 적용","나무식재나무에 따라 차등 적용66,000",66000
"1","(재)낙원추모공원","공설","기타","","","10만원","걸방석 .3/2.5자100,000","걸방석 2.3/2.5자100,000",100000
"1","(재)낙원추모공원","공설","기타","","","10만원","석화분EA100,000","석화분2EA100,000",100000
"1","(재)낙원추모공원","공설","자연장","","","자연장 10만원","바닥 잔디(평형)","바닥 잔디(평형)100,000",100000
"1","(재)낙원추모공원","공설","기타","개인단","","11만원","추가각자대인 추가/삭제 마다 33,000원110,000","추가각자대1인 추가/삭제 마다 33,000원110,000",110000
"1","(재)낙원추모공원","공설","기타","","","11만원","유골함(한지)규격 (*18*18)110,000","유골함(한지)규격 (18*18*18)110,000",110000
"1","(재)낙원추모공원","공설","기타","","","","분묘수선석물수선 명칭변경 / 단수에 따라 적용150,000","분묘수선석물수선, 명칭변경 / 단수에 따라 적용150,000",150000
"1","(재)낙원추모공원","공설","기타","","","15만원","조경유지비년분150,000","조경유지비5년분150,000",150000
"1","(재)낙원추모공원","공설","기타","","","15만원","개토제 또는 산신제 (택)1회 기준150,000","개토제 또는 산신제 (택1)1회 기준150,000",150000
"1","(재)낙원추모공원","공설","자연장","","","","평장묘 개장작업비(공임)+50,000(1명당)/유골함 비용 별도200,000","평장묘 개장작업비150,000(공임)+50,000(1명당)/유골함 비용 별도200,000",200000
"1","(재)낙원추모공원","공설","기타","","","20만원","월석 각자대","월석 각자대200,000",200000
"1","(재)낙원추모공원","공설","기타","","","22만원","팔각 유골함(한지)규격(*18*19) / 향균 기능220,000","팔각 유골함(한지)규격(18*18*19) / 향균 기능220,000",220000
"1","(재)낙원추모공원","공설","기타","","","","관리비평형/1년 기준25,0001","관리비1평형/1년 기준25,0001",250001
"1","(재)낙원추모공원","공설","기타","","","30만원","리모델링 추가설치(경계석)300,000","리모델링, 추가설치(경계석)300,000",300000
"1","(재)낙원추모공원","공설","기타","","","30만원","구판(자, 와비2자)300,000","구판(3자, 와비2자)300,000",300000
"1","(재)낙원추모공원","공설","기타","","","","야간 작업비기존 작업비에 추가","야간 작업비기존 작업비에 추가300,000",300000
"1","(재)낙원추모공원","공설","기타","","","30만원","의전 서비스회 기준300,000","의전 서비스1회 기준300,000",300000
"1","(재)낙원추모공원","공설","기타","","","33만원","메탈포토A(일반형)","메탈포토A(일반형)330,000",330000
"1","(재)낙원추모공원","공설","기타","","","33만원","메탈포토B(L자형)","메탈포토B(L자형)330,000",330000
"1","(재)낙원추모공원","공설","기타","가족단","","40만원","가족표석","가족표석400,000",400000
"1","(재)낙원추모공원","공설","기타","","","40만원","월석(거창)비석 교체 시 사용","월석(거창)비석 교체 시 사용400,000",400000
"1","(재)낙원추모공원","공설","기타","","","40만원","카멜리아 표석비석 교체 시 사용","카멜리아 표석비석 교체 시 사용400,000",400000
"1","(재)낙원추모공원","공설","기타","","","40만원","청여 표석비석 교체 시 사용","청여 표석비석 교체 시 사용400,000",400000
"1","(재)낙원추모공원","공설","자연장","","","","추가 평장작업비","추가 평장작업비400,000",400000
"1","(재)낙원추모공원","공설","매장묘","","","매장묘 40만원","각자대매장 평장 구분없이 통합하여 사용400,000","각자대매장, 평장 구분없이 통합하여 사용400,000",400000
"1","(재)낙원추모공원","공설","기타","","","40만원","구판(.5자, 와지 2.3자)400,000","구판(3.5자, 와지 2.3자)400,000",400000
"1","(재)낙원추모공원","공설","기타","부부단","","40만원","사각 원형석실(부부)1인 석실(200,000원)400,000","사각, 원형석실(부부)1인 석실(200,000원)400,000",400000
"1","(재)낙원추모공원","공설","기타","","","40만원","삼향로","삼향로400,000",400000
"1","(재)낙원추모공원","공설","기타","","","44만원","메탈포토C(다각형)","메탈포토C(다각형)440,000",440000
"1","(재)낙원추모공원","공설","기타","","","50만원","월석(고흥)비석 교체 시 사용","월석(고흥)비석 교체 시 사용500,000",500000
"1","(재)낙원추모공원","공설","기타","","","50만원","봉분 설치비","봉분 설치비500,000",500000
"1","(재)낙원추모공원","공설","기타","","","","충곽/탈관비작업비  + 재료비 200,000원500,000","충곽/탈관비작업비 300,000원 + 재료비 200,000원500,000",500000
"1","(재)낙원추모공원","공설","기타","","","50만원","봉분수선년 1회 A/S 보장500,000","봉분수선1년 1회 A/S 보장500,000",500000
"1","(재)낙원추모공원","공설","기타","","","50만원","경계석(전)500,000","경계석(15전)500,000",500000
"1","(재)낙원추모공원","공설","기타","","","50만원","특삼향로","특삼향로500,000",500000
"1","(재)낙원추모공원","공설","기타","","","60만원","성경책","성경책600,000",600000
"1","(재)낙원추모공원","공설","자연장","","","자연장 70만원","평장상석 .5자걸방석 제외700,000","평장상석 2.5자걸방석 제외700,000",700000
"1","(재)낙원추모공원","공설","기타","","","70만원","개장정리비(소)","개장정리비(소)700,000",700000
"1","(재)낙원추모공원","공설","기타","","","70만원","구판(.5자 특, 2.5자 와비)700,000","구판(3.5자 특, 2.5자 와비)700,000",700000
"1","(재)낙원추모공원","공설","매장묘","","","매장묘 70만원","장례진행비각자대 매장신고대행, 의전 진행 포함700,000","장례진행비각자대, 매장신고대행, 의전 진행 포함700,000",700000
"1","(재)낙원추모공원","공설","기타","","","80만원","상석 .3 세트고흥석800,000","상석 2.3 세트고흥석800,000",800000
"1","(재)낙원추모공원","공설","기타","","","80만원","비석 자 (오석)800,000","비석 3자 (오석)800,000",800000
"1","(재)낙원추모공원","공설","기타","부부단","","80만원","부부와비","부부와비800,000",800000
"1","(재)낙원추모공원","공설","자연장","부부단","","자연장 80만원","수목형 표석아이리스카멜리아,플라타너스,낙원평장,다알리아추억/사랑/하늘 정원(세우는 형태), 부부표석,800,000","수목형 표석아이리스,카멜리아,플라타너스,낙원평장,다알리아추억/사랑/하늘 정원(세우는 형태), 부부표석,800,000",800000
"1","(재)낙원추모공원","공설","기타","부부단","","80만원","부부표석","부부표석800,000",800000
"1","(재)낙원추모공원","공설","기타","","","90만원","와비 자 (오석)900,000","와비 2자 (오석)900,000",900000
"1","(재)낙원추모공원","공설","자연장","","","","처음 평장작업비","처음 평장작업비1,000,000",1000000
"1","(재)낙원추모공원","공설","매장묘","","","","매장묘 개장작업비화장 제외 시 -1,000,000","매장묘 개장작업비화장 제외 시 -100,000원1,000,000",1000000
"1","(재)낙원추모공원","공설","기타","","","100만원","개장정리비(특수단형 이상)1,000,000","개장정리비(특수,4단형 이상)1,000,000",1000000
"1","(재)낙원추모공원","공설","기타","","","110만원","상석 .5 세트거창석, 고흥석1,100,000","상석 2.5 세트거창석, 고흥석1,100,000",1100000
"1","(재)낙원추모공원","공설","기타","","","110만원","와비 .3자 (오석)1,100,000","와비 2.3자 (오석)1,100,000",1100000
"1","(재)낙원추모공원","공설","기타","","","110만원","갓(.5자)1,100,000","갓(3.5자)1,100,000",1100000
