ParkID,ParkName,Category,ItemName,Price,RawText
park-0509,정토사 극락원,안치단,"2층 화엄실 (특B)2,3,4단",8500000,""
park-0509,정토사 극락원,안치단,"2층 화엄실 (특B)1단",7500000,""
park-0509,정토사 극락원,안치단,"2층 화엄실 (특B)5단",7000000,""
park-0509,정토사 극락원,안치단,"2층 해탈실,원력실2,3,4,5단",5000000,""
park-0509,정토사 극락원,안치단,"2층 해탈실,원력실1단",4500000,""
park-0509,정토사 극락원,안치단,"2층 해탈실,원력실6단",4000000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실7단",1500000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실6단",3200000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실1단",2900000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실2단",3200000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실3,4,5단",3600000,""
park-0509,정토사 극락원,안치단,"2층 효행실,안락실7단",1500000,""
park-0509,정토사 극락원,안치단,"2층 효행실,안락실1단",2800000,""
park-0509,정토사 극락원,안치단,"2층 효행실,안락실2,6단",3100000,""
park-0509,정토사 극락원,안치단,"2층 효행실,안락실3,4,5단",3500000,""
park-0509,정토사 극락원,안치단,"2층 효행실,안락실8단",800000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실8단",800000,""
park-0509,정토사 극락원,안치단,"2층 해탈실,원력실 (부부단)2,3,4,5단",10000000,""
park-0509,정토사 극락원,안치단,"2층 해탈실,원력실 (부부단)1단",9000000,""
park-0509,정토사 극락원,안치단,"2층 해탈실,원력실 (부부단)6단",8000000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실 (부부단)3,4,5단",7200000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실 (부부단)1단",5800000,""
park-0509,정토사 극락원,안치단,"2층 효행실,안락실 (부부단)3,4,5단",7000000,""
park-0509,정토사 극락원,안치단,"2층 효행실,안락실 (부부단)2,6단",6200000,""
park-0509,정토사 극락원,안치단,"2층 효행실,안락실 (부부단)1단",5600000,""
park-0509,정토사 극락원,안치단,"2층 효행실,안락실 (부부단)7단",3000000,""
park-0509,정토사 극락원,안치단,"2층 효행실,안락실 (부부단)8단",1600000,""
park-0509,정토사 극락원,안치단,"2층 화엄실 (특B)2,3,4,단",17000000,""
park-0509,정토사 극락원,안치단,"2층 화엄실 (특B)1단",15000000,""
park-0509,정토사 극락원,안치단,"2층 화엄실 (특B)5단",14000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A)지장보살형 RA1,5단",14500000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A)지장보살형 RA2,4단",16000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A)지장보살형 RA3단",18000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A)지장보살형 창측1단",12000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A)지장보살형 창측2단",13500000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A)지장보살형 창측3단",14500000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A)지장보살형 A1,6단",11500000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A)지장보살형 A2,5단",13500000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A)지장보살형 A3,4단",14500000,""
park-0509,정토사 극락원,안치단,"3층 일심실,사섭실 (지장보살형.고급.B)1,6단",7000000,""
park-0509,정토사 극락원,안치단,"3층 일심실,사섭실 (지장보살형.고급.B)2,5단",8000000,""
park-0509,정토사 극락원,안치단,"3층 일심실,사섭실 (지장보살형.고급.B)3,4단",9000000,""
park-0509,정토사 극락원,안치단,"3층 이행실,삼학실 (지장보살형.고급.C)1,6단",7000000,""
park-0509,정토사 극락원,안치단,"3층 이행실,삼학실 (지장보살형.고급.C)2,5단",7500000,""
park-0509,정토사 극락원,안치단,"3층 이행실,삼학실 (지장보살형.고급.C)3,4단",8500000,""
park-0509,정토사 극락원,안치단,"3층 육념실 (유리문형)8단",3100000,""
park-0509,정토사 극락원,안치단,"3층 육념실 (유리문형)1,7단",4100000,""
park-0509,정토사 극락원,안치단,"3층 육념실 (유리문형)2,6단",4800000,""
park-0509,정토사 극락원,안치단,"3층 육념실 (유리문형)3,4,5단",5200000,""
park-0509,정토사 극락원,안치단,"3층 칠보실,팔정도실 (유리문형)8단",3200000,""
park-0509,정토사 극락원,안치단,"3층 칠보실,팔정도실 (유리문형)1,7단",4200000,""
park-0509,정토사 극락원,안치단,"3층 칠보실,팔정도실 (유리문형)2,6단",4900000,""
park-0509,정토사 극락원,안치단,"3층 칠보실,팔정도실 (유리문형)3,4,5단",5500000,""
park-0509,정토사 극락원,안치단,"3층 오온실 (유리문형)8단",2800000,""
park-0509,정토사 극락원,안치단,"3층 오온실 (유리문형)1,7단",3200000,""
park-0509,정토사 극락원,안치단,"3층 오온실 (유리문형)2,6단",3800000,""
park-0509,정토사 극락원,안치단,"3층 오온실 (유리문형)3,4,5단",4500000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 지장보살형 RA1,5단",29000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 지장보살형 RA2,4단",32000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 지장보살형 RA3단",36000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 지장보살형 창측1단",24000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 지장보살형 창측2단",27000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 지장보살형 창측3단",29000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A,B)지장보살형1,6단",23000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A,B)지장보살형2,5단",27000000,""
park-0509,정토사 극락원,안치단,"3층 상생특실 (A,B)지장보살형3,4단",29000000,""
park-0509,정토사 극락원,안치단,"3층 일심실,사섭실 (지장보살형.고급.B)1,6단",14000000,""
park-0509,정토사 극락원,안치단,"3층 일심실,사섭실 (지장보살형.고급.B)2,5단",16000000,""
park-0509,정토사 극락원,안치단,"3층 일심실,사섭실 (지장보살형.고급.B)3,4단",18000000,""
park-0509,정토사 극락원,안치단,"3층 이행실,삼학실 (지장보살형.고급.C)1,6단",14000000,""
park-0509,정토사 극락원,안치단,"3층 이행실,삼학실 (지장보살형.고급.C)2,5단",15000000,""
park-0509,정토사 극락원,안치단,"3층 이행실,삼학실 (지장보살형.고급.C)3,4단",17000000,""
park-0509,정토사 극락원,안치단,"3층 육념실 (유리문형)8단",6200000,""
park-0509,정토사 극락원,안치단,"3층 육념실 (유리문형)1,7단",8200000,""
park-0509,정토사 극락원,안치단,"3층 육념실 (유리문형)2,6단",9600000,""
park-0509,정토사 극락원,안치단,"3층 육념실 (유리문형)3,4,5단",10400000,""
park-0509,정토사 극락원,안치단,"3층 칠보실,팔정도실 (유리문형)8단",6400000,""
park-0509,정토사 극락원,안치단,"3층 칠보실,팔정도실 (유리문형)1,7단",8400000,""
park-0509,정토사 극락원,안치단,"3층 칠보실,팔정도실 (유리문형)2,6단",9800000,""
park-0509,정토사 극락원,안치단,"3층 칠보실,팔정도실 (유리문형)3,4,5단",11000000,""
park-0509,정토사 극락원,안치단,"3층 오온실 (유리문형)8단",5600000,""
park-0509,정토사 극락원,안치단,"3층 오온실 (유리문형)1,7단",6400000,""
park-0509,정토사 극락원,안치단,"3층 오온실 (유리문형)2,6단",7600000,""
park-0509,정토사 극락원,안치단,"3층 오온실 (유리문형)3,4,5단",9000000,""
park-0509,정토사 극락원,안치단,"3층 화엄실 (특A)2,3,4단",9700000,""
park-0509,정토사 극락원,안치단,"3층 화엄실 (특A)1단",8500000,""
park-0509,정토사 극락원,안치단,"3층 화엄실 (특A)5단",8000000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실 (부부단)8단",1600000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실 (부부단)7단",3000000,""
park-0509,정토사 극락원,안치단,"2층 보은실,미타실 (부부단)2,6단",6400000,""
park-0509,정토사 극락원,안치단,"2층 화엄실 (특A)2,3,4단",19400000,""
park-0509,정토사 극락원,안치단,"2층 화엄실 (특A)1단",17000000,""
park-0509,정토사 극락원,안치단,"2층 화엄실 (특A)5단",16000000,""
park-0509,정토사 극락원,안치단,"단기 (임시)봉안/1개월3층1단",150000,""
park-0509,정토사 극락원,안치단,"4층 자비실,광명실 (고급A)1단",6100000,""
