id,시설명,parkId,운영,종교,필터,img분석,운영_old,개인단/부부단,관내/관외,제목,설명,가격
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,평장묘 개장작업비,"(공임), (1명당), 유골함 비용 별도",200000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,추가 평장작업비,,400000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,각자대매장,평장 구분없이 통합하여 사용,400000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,봉분 설치비,,500000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,봉분수선,1년 1회 A/S 보장,500000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,평장상석,.5자걸방석 제외 2.5자걸방석 제외,700000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,장례진행비각자대,"매장신고대행, 의전 진행 포함",700000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,처음 평장작업비,처음 평장작업비,1000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,매장묘 개장작업비,화장 제외 시,1000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,매장작업비유골함,일 경우,1500000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,가봉분 작업비 A일반봉분,가봉분 작업비 A일반봉분,1500000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,단형봉분(15전묘테),추가 1,1500000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,단형봉분(30전묘테),추가 1단형봉분(30전묘테) 추가,1500000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,가봉분 작업비 B앞면조각봉분 이상,,1800000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,석봉분,/3평형/자바라형,1800000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,가봉분 작업비 C원형봉분,가봉분 작업비 C원형봉분,2000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,봉분,"단형 (2,3평기초) 1기, 2단형 (2,3평기초) 1기",3000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,단형봉분,"단형봉분(2,3평기초) 1기 추가 2단형봉분(2,3평기초) 1기 추가",4500000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,"단형봉분, 4단형봉분","(3평기초판석) 1기, (3평기초판석) 1기",6000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,앞면조각봉분A,"(단형) 1기 추가, (3단형) 1기 추가",7000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,앞면조각봉분B,"(단형) 1기 추가, (4단형) 1기 추가",8000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,정원형 평장,"위(추), 2위(추)",9500000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,"앞면조각봉분C(3단형), 앞면조각봉분C(단형)",1기 추가,11000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,"앞면조각봉분D(단형), 앞면조각봉분D(4단형)",1기 추가사용하지 않는 모델,12000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,평장E,평장E,15000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,"정원형 평장위, 정원형 평장2위",단품,17500000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,"평장위동백14, 평장2위동백14",에만 판매,18000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,개인단,,개인 매장묘,(3평형),20275000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,,,정원형 평장E,"(백합가), (백합3가)",25000000
1,(재)낙원추모공원,1,공설,,"봉안당, 수목장, 공원묘지",공원묘지,공원묘지,부부단,,부부 매장묘 ,(6평형),31150000
