번호,ID,이름,주소
1,park-0001,(재)낙원추모공원,경상남도 김해시 한림면 김해대로1402번길 148 (신천리)
2,park-0002,(재)실로암공원묘원,부산광역시 기장군 철마면 사등길 181 (고촌리  실로암공원묘원관리사무소)
3,park-0003,(재)삼덕공원묘원,울산광역시 울주군 삼동면 삼덕로 426
4,park-0004,재단법인울산공원묘원,울산광역시 남구 문수로217번길 34 (옥동)
5,park-0005,진주내동공원묘원,경상남도 진주시 내동면 유수길75번길 8-214 (유수리  진주내동공동묘원)
6,park-0006,신불산공원묘원,경상남도 양산시 어실로 604 (어곡동)
7,park-0007,예산군추모공원,충청남도 예산군 응봉면 예당로 1345-12 (평촌리  예산군추모공원)
8,park-0008,(재)대지공원묘원,충청북도 음성군 생극면 오신로 504-63 (신양리)
9,park-0009,재단법인선산공원묘원,경상북도 구미시 옥성면 선상동로 419 (초곡리)
10,park-0010,재단법인 솥발산공원묘원,경상남도 양산시 하북면 삼덕로 288 (답곡리)
11,park-0011,재단법인 로엠(묘지),충청남도 천안시 동남구 광덕면 광덕로 383 (신덕리)
12,park-0012,(재)화산추모공원(묘지),충청남도 예산군 대술면 대술로 574-57 (화산리)
13,park-0013,(재)서울공원묘원,경기도 용인시 처인구 이동면 백자로 41 (서리  서울공원묘원사무실)
14,park-0014,(재)자하연 일산(묘지),경기도 고양시 일산동구 지영로 36-87 (지영동)
15,park-0015,(재)이화공원묘원,경상남도 고성군 상리면 장치로 220-107 (자은리)
16,park-0016,김해공원묘원,경상남도 김해시 생림대로 93-103 (삼계동  김해공원묘원)
17,park-0017,파주하늘나라공원,경기도 파주시 탄현면 방촌로 581-75 (축현리  하늘나라공원)
18,park-0018,보령시모란공원,충청남도 보령시 성주면 만수로 693 (개화리)
19,park-0019,(재)남양공원묘원,경상북도 성주군 선남면 관용로 401-41 (오도리)
20,park-0020,목련공원묘원,강원특별자치도 철원군 서면 싸리골길 133 (자등리  목련공원)
21,park-0021,물미묘원,강원특별자치도 영월군 주천면 솔치로 240-120 (신일리)
22,park-0022,천주교안성추모공원(묘원),경기도 안성시 보개면 보삼로 319-34 (북가현리)
23,park-0023,함양하늘공원(묘지),경상남도 함양군 지곡면 함양로 2139-2 (마산리  하늘공원)
24,park-0024,(재)하늘나라공원 포천묘원,경기도 포천시 소흘읍 부흥로 212 2층 (무봉리)
25,park-0025,금릉공원묘원,경상북도 김천시 봉산면 광천4길 155-200 (광천리)
26,park-0026,(재)경춘공원묘원,강원특별자치도 춘천시 서면 노동길 181 (안보리)
27,park-0027,우성공원묘원,경기도 안성시 일죽면 화곡길 158 (화곡리  우성공원묘원)
28,park-0028,(재)화신공원묘원,전라북도 정읍시 옹동면 옹동용호길 110-76 (용호리)
29,park-0029,청파동성당 청파묘원,경기도 양주시 장흥면 호국로 8 (일영리)
30,park-0030,(재)풍산공원묘원,충청남도 천안시 동남구 병천면 풍산공원길 70 (봉항리  풍산공원묘역)
31,park-0031,청파동성당 평화묘원,경기도 파주시 탄현면 월롱산로 503-66 (금승리)
32,park-0032,(재)호정공원(묘지),전라북도 완주군 화산면 운곡로 381-64 (운곡리)
33,park-0033,(주)광림공원 동산공원묘원(묘지),강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리  춘천시공설묘원)
34,park-0034,삼척시추모공원 묘지 제1단지,강원특별자치도 삼척시 강원남부로 4541 (등봉동  삼척시공원묘지)
35,park-0035,(재)동산공원묘원,경상북도 포항시 남구 동해면 동해안로 5294-90 (상정리)
36,park-0036,유달공원묘지,전라남도 무안군 삼향읍 수련길 255 (지산리)
37,park-0037,(재)지평선전북공원묘원(묘지),전라북도 김제시 금구면 선암1길 290 (선암리)
38,park-0038,(재)진달래문화재단,충청북도 충주시 앙성면 와평2길 84 (지당리)
39,park-0039,(재)석계공원묘원,경상남도 양산시 상북면 오룡길 148-45 (외석리  석계공원묘지)
40,park-0040,영락공원묘원,경상남도 김해시 주촌면 서부로1637번길 546 (덕암리)
41,park-0041,(재)자하연포천(묘지),경기도 포천시 영중면 궁들길 84 (금주리)
42,park-0042,별그리다(THE HILL),경기도 양평군 양동면 양동금곡1길 331 (삼산리  양평공원묘원)
43,park-0043,(재)경맥백합공원,경상북도 경산시 남천면 남천로 188-60 (흥산리)
44,park-0044,(재)한남공원묘원,경기도 광주시 매자리길 185-22 (매산동)
45,park-0045,충주공원묘원,충청북도 충주시 두루봉길 57 (목행동)
46,park-0046,동화경모공원(묘지),경기도 파주시 탄현면 헤이리로 98 (법흥리  동화경모공원)
47,park-0047,양양군공설묘원,강원특별자치도 양양군 양양읍 남대천로 251-121 (월리  양양군공설묘원)
48,park-0048,대정공원묘원,부산광역시 기장군 정관읍 양수길 76 (용수리  대정공원묘원관리소)
49,park-0049,천주교혜화동성당 포천묘원,경기도 포천시 소흘읍 윗용상길 68 (이동교리)
50,park-0050,광주공원묘원,경기도 광주시 매자리길 235 (매산동)
51,park-0051,영모묘원,전라북도 익산시 왕궁면 호반로 173-45 (동봉리  영모묘원납골당)
52,park-0052,칠량자연공원묘원,전라남도 강진군 칠량면 삼흥공원길 178-54 (삼흥리)
53,park-0053,(재)봉황공원묘지,전라북도 군산시 임피면 미원리 산100-1
54,park-0054,(재)우성공원묘원,경상북도 성주군 선남면 관용로 470-54 (용신리  우성공원사무소)
55,park-0055,동해시하늘정원묘지,강원도 동해시 강원남부로 4589 (단봉동)
56,park-0056,(재)용인공원(묘지),경기도 용인시 처인구 모현읍 새래로 158-33 (초부리  용인공원묘지)
57,park-0057,함안군공설추모공원,경상남도 함안군 가야읍 봉수로 609 (도항리  함안군공설추모공원)
58,park-0058,(재)경주공원묘원,경상북도 경주시 강동면 오금큰길 505 (왕신리)
59,park-0059,남한강공원묘원,경기도 여주시 가남읍 송삼로 459-35 (금곡리)
60,park-0060,(재)조양공원,경상북도 칠곡군 지천면 달방길 215 (달서리)
61,park-0061,고성군 공설묘원,강원특별자치도 고성군 죽왕면 공설묘원길 32 (가진리)
62,park-0062,초동교회공원묘원,경기도 안성시 삼죽면 음촌길 36-77 (배태리)
63,park-0063,태백공원묘원,강원도 태백시 백두대간로 844 (창죽동  태백공동묘지)
64,park-0064,진천군공설묘지,충청북도 진천군 진천읍 백곡로 1465-34 (장관리  진천군공설묘지)
65,park-0065,(재)광주구천주교공원묘원,전라남도 담양군 월산면 월광로 512 (광암리)
66,park-0066,(재)개나리추모공원,충청북도 제천시 송학면 도화로 194 (도화리)
67,park-0067,금호동성당 천보묘원(묘지),경기도 포천시 화합로 116 (동교동)
68,park-0068,전농동성당 평화묘원,경기도 포천시 화현면 영일로368번길 66 (지현리)
69,park-0069,(재)천주교평내공원묘원,경기도 남양주시 평내동 산45-1
70,park-0070,재림공원묘원,경기도 포천시 소흘읍 송우로 101-16 (송우리)
71,park-0071,(재)신세계공원묘원,대구광역시 군위군 효령면 녹동길 129-190 (장군리)
72,park-0072,영종공설묘지(신규매장불가),인천광역시 중구 운북동 132-80
73,park-0073,재단법인 춘천공원묘원,강원특별자치도 춘천시 신북읍 배후령길 154-18 (천전리)
74,park-0074,창원공원묘원(묘지),경상남도 창원시 마산합포구 진동면 공원묘원로 134 (인곡리)
75,park-0075,(재)학명묘원,경상북도 칠곡군 동명면 학명리 산81-1
76,park-0076,백란공원묘원,경기도 고양시 덕양구 내유길131번길 123 (내유동)
77,park-0077,애향묘지,제주특별자치도 제주시 노형동 산18-1
78,park-0078,신당동성당 소화묘원,경기도 남양주시 조안면 다산로 363 (능내리  천주교신당동교회)
79,park-0079,오창장미공원,충청북도 청주시 청원구 오창읍 양청3길 88 (양청리)
80,park-0080,평창군 공설묘지,강원특별자치도 평창군 방림면 서동로 1741-36 (방림리  평창공원묘지)
81,park-0081,충현동산,경기도 광주시 용샘길 115-25 (목현동)
82,park-0082,세종시공설묘지,세종특별자치시 전동면 전동로 539 (봉대리)
83,park-0083,대전추모공원 가족묘원,대전광역시 서구 상보안윗길 160 (괴곡동)
84,park-0084,매화공원묘지,충청북도 청주시 상당구 가덕면 상장인차로 460 (청용리)
85,park-0085,영동공원묘원,강원특별자치도 강릉시 강동면 율곡로 2118-45 (안인리  영동공원관리묘원사무소)
86,park-0086,(재)천주교세종로묘원,경기도 남양주시 별내동 산193-1
87,park-0087,서라벌공원묘원,경상북도 경주시 서면 갠버불길 183-119 (운대리)
88,park-0088,김해하늘공원(묘지),경상남도 김해시 생림면 생림대로928번길 10-91 (봉림리)
89,park-0089,여수시공설묘지공원,전라남도 여수시 소라면 봉두리 산190 
90,park-0090,정선하늘공원,강원특별자치도 정선군 여량면 서동로 3867-26 (남곡리  정선하늘공원)
91,park-0091,광릉 더 크레스트 묘지,경기도 포천시 내촌면 부마로 341(마명리)
92,park-0092,(재)안동추모공원(묘지),경상북도 안동시 풍산읍 본마을길 36-69 (노리)
93,park-0093,청량리성당 다볼산묘원,경기도 양주시 산북동 산73
94,park-0094,예래원(묘지),경기도 동두천시 탑신로 668 (탑동동)
95,park-0095,현대공원1묘원,경상북도 칠곡군 지천면 낙산로3길 34-22 (낙산리)
96,park-0096,전주효자공원,전라북도 전주시 완산구 콩쥐팥쥐로 1705-138 (효자동3가  전주승화원)
97,park-0097,현대공원2묘원,경상북도 칠곡군 동명면 다부거문1길 51-75 (가천리)
