시설종류,순번,장사시설명,품목분류,품목,규격,금액
묘지,1,(재)경주공원묘원,사용료,사용료,"332,748원/1㎡(1,100,000원/1평)",332748
묘지,2,(재)경주공원묘원,관리비,관리비," 4,538원/1㎡(15,000원/1평)",4538
묘지,3,(재)경주공원묘원,기타,장례비,"3.3058㎡(500,000원/1평)",500000
묘지,4,(재)지평선전북공원묘원,사용료,묘지사용료(장미묘역),3.3㎡ ,1200000
묘지,5,(재)지평선전북공원묘원,사용료,묘지사용료(개나리묘역),3.3㎡ ,1300000
묘지,6,(재)지평선전북공원묘원,사용료,묘지사용료(개나리묘역),3.3㎡ ,1400000
묘지,7,(재)지평선전북공원묘원,사용료,묘지사용료(매화묘역),3.3㎡ ,1500000
묘지,8,(재)지평선전북공원묘원,관리비,관리비,1평 /1년,15000
묘지,9,남양공원묘원,사용료,사용료,1평기준,950000
묘지,10,남양공원묘원,관리비,관리비,1평기준,13000
묘지,11,(재)대지공원묘원,사용료,묘지사용료,3.3㎡ / 평,1200000
묘지,12,(재)대지공원묘원,관리비,묘지관리비,3.3㎡ / 평 / 년,17000
묘지,13,(재)봉황공원묘지,사용료,사용료,평당,840400
묘지,14,(재)봉황공원묘지,관리비,연간관리비,평당(부가세별도),15200
묘지,15,(재)안양공원묘원,사용료,평당,1평,798700
묘지,16,(재)안양공원묘원,관리비,년간,평당,11000
묘지,17,영모묘원,사용료,묘지,5㎡ / 45년간 사용/하단 묘지구역,20000000
묘지,18,영모묘원,사용료,묘지,5㎡ / 45년간 사용/상단 묘지구역,15000000
묘지,19,영모묘원,관리비,묘지,"10년(1년50,000원)",500000
묘지,20,영모묘원,사용료,자연장,30cm*30cm /표석없음/ 기간은 영구,1500000
묘지,21,영모묘원,사용료,묘지,부부합장묘  추가비용,1500000
묘지,22,(재)우성공원묘원,사용료,VVIP 봉안당 사용료,부부 1~7단 평균,15930000
묘지,23,(재)우성공원묘원,사용료,VVIP 봉안당 사용료,개인 1~7단 평균,7360000
묘지,24,(재)우성공원묘원,사용료,VIP 봉안당 사용료,부부 1~7단 평균,15210000
묘지,25,(재)우성공원묘원,사용료,VIP 봉안당 사용료,개인 1~7단 평균,6860000
묘지,26,(재)우성공원묘원,사용료,일반 봉안당 사용료,부부 1~9단 평균,9330000
묘지,27,(재)우성공원묘원,사용료,일반 봉안당 사용료,개인 1~9단 평균,3280000
묘지,28,(재)우성공원묘원,사용료,종교 봉안당 사용료,부부 1~9단 평균,9330000
