🚀 Supabase Upload Script Started
Checking bucket 'facilities'...
Creating bucket 'facilities'...
✅ Bucket created.
Scanning public/images/facilities...
📸 Found 3027 images.
Processing [1/3027] photo_1.jpg... ✅ Done.
Processing [2/3027] photo_10.JPG... ✅ Done.
Processing [3/3027] photo_2.JPG... ✅ Done.
Processing [4/3027] photo_3.JPG... ✅ Done.
Processing [5/3027] photo_4.JPG... ✅ Done.
Processing [6/3027] photo_5.JPG... ✅ Done.
Processing [7/3027] photo_6.JPG... ✅ Done.
Processing [8/3027] photo_7.JPG... ✅ Done.
Processing [9/3027] photo_8.JPG... ✅ Done.
Processing [10/3027] photo_9.JPG... ✅ Done.
Processing [11/3027] photo_1.PNG... ✅ Done.
Processing [12/3027] photo_1.PNG... ✅ Done.
Processing [13/3027] photo_1.PNG... ✅ Done.
Processing [14/3027] photo_1.PNG... ✅ Done.
Processing [15/3027] photo_1.jpg... ✅ Done.
Processing [16/3027] photo_10.jpg... ✅ Done.
Processing [17/3027] photo_11.jpg... ✅ Done.
Processing [18/3027] photo_12.jpg... ✅ Done.
Processing [19/3027] photo_2.jpg... ✅ Done.
Processing [20/3027] photo_3.jpg... ✅ Done.
Processing [21/3027] photo_4.jpg... ✅ Done.
Processing [22/3027] photo_5.jpg... ✅ Done.
Processing [23/3027] photo_6.jpg... ✅ Done.
Processing [24/3027] photo_7.jpg... ✅ Done.
Processing [25/3027] photo_8.jpg... ✅ Done.
Processing [26/3027] photo_9.jpg... ✅ Done.
Processing [27/3027] photo_1.jpg... ✅ Done.
Processing [28/3027] photo_1.PNG... ✅ Done.
Processing [29/3027] photo_1.JPG... ✅ Done.
Processing [30/3027] photo_10.JPG... ✅ Done.
Processing [31/3027] photo_11.JPG... ✅ Done.
Processing [32/3027] photo_12.JPG... ✅ Done.
Processing [33/3027] photo_2.JPG... ✅ Done.
Processing [34/3027] photo_3.JPG... ✅ Done.
Processing [35/3027] photo_4.jpg... ✅ Done.
Processing [36/3027] photo_5.JPG... ✅ Done.
Processing [37/3027] photo_6.JPG... ✅ Done.
Processing [38/3027] photo_7.JPG... ✅ Done.
Processing [39/3027] photo_8.JPG... ✅ Done.
Processing [40/3027] photo_9.JPG... ✅ Done.
